code,short_name,board,current_financial_flag,current_schema_profile,candidate_type,confidence,evidence_keywords,evidence_source,recommended_action,human_review_required,notes
000166,申万宏源,szse_main,false,industrial,broker,high,dominant_securities_business; dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Investment holding with securities business as core operating segment
000415,渤海租赁,szse_main,false,industrial,leasing,high,dominant_leasing_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant aircraft/container leasing business; fits other_financial/leasing
000563,陕国投A,szse_main,false,industrial,trust,high,dominant_trust_business,company_profile,candidate for YAML financial:true + subtype review,yes,Trust company with trust license and trust business scope
000627,*ST天茂,szse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Investment holding whose main operating business is insurance via subsidiaries
002839,张家港行,szse_main,false,industrial,bank,high,dominant_bank_business,company_profile,candidate for YAML financial:true + subtype review,yes,Commercial bank; business scope and MD&A are banking operations
300059,东方财富,chinext,false,industrial,broker,high,dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Licensed securities/futures brokerage is core business despite internet platform model
600095,湘财股份,sse_main,false,industrial,broker,high,dominant_securities_business,company_profile,candidate for YAML financial:true + subtype review,yes,Operating business dominated by 湘财证券 securities segment
600621,华鑫股份,sse_main,false,industrial,broker,high,dominant_securities_business; dominant_futures_business,company_profile,candidate for YAML financial:true + subtype review,yes,Operating business is securities via 华鑫证券
601318,中国平安,sse_main,false,industrial,insurer,high,diversified_financial_platform,company_profile,candidate for YAML financial:true + subtype review,yes,Major insurance/financial conglomerate; YAML under-tag alongside 601319/601601
601319,中国人保,sse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant insurance company; reports insurance service income and industry as insurance
601601,中国太保,sse_main,false,industrial,insurer,high,dominant_insurance_business,company_profile,candidate for YAML financial:true + subtype review,yes,Dominant insurance company; segment table shows 太保寿险/太保产险
000532,华金资本,szse_main,false,industrial,financial_holding,medium,name_keyword_资本,yaml_short_name,human review before any YAML change,yes,Name-only hit 华金资本; profile not scanned (no disclosure match); manual add for review
000617,中油资本,szse_main,false,industrial,financial_holding,medium,dominant_trust_business; dominant_bank_business,company_profile,human review before any YAML change,yes,Financial holding with bank/trust/insurance/leasing subsidiaries
000987,越秀资本,szse_main,false,industrial,financial_holding,medium,diversified_financial_platform; dominant_futures_business,company_profile,human review before any YAML change,yes,Historically diversified finance; now mixed with new-energy assets
002423,中粮资本,szse_main,false,industrial,financial_holding,medium,dominant_trust_business; dominant_futures_business,company_profile,human review before any YAML change,yes,Capital platform with trust/futures/insurance exposure
600061,国投资本,sse_main,false,industrial,financial_holding,medium,diversified_financial_platform,company_profile,human review before any YAML change,yes,Multi-financial platform with securities/trust/fund/futures subsidiaries
600120,浙江东方,sse_main,false,industrial,trust,medium,dominant_trust_business; dominant_bank_business,company_profile,human review before any YAML change,yes,Trust/finance exposure; confirm dominant segment
600390,五矿资本,sse_main,false,industrial,financial_holding,medium,diversified_financial_platform; dominant_trust_business; dominant_futures_business,company_profile,human review before any YAML change,yes,央企产业金融平台; trust/futures/insurance exposure
600517,国网英大,sse_main,false,industrial,trust,medium,dominant_trust_business; dominant_futures_business,company_profile,human review before any YAML change,yes,Trust/finance exposure; confirm dominant segment
600705,中航产融,sse_main,false,industrial,financial_holding,medium,diversified_financial_platform; dominant_trust_business,company_profile,human review before any YAML change,yes,Aviation industry financial holding platform
600830,香溢融通,sse_main,false,industrial,specialty_finance,medium,diversified_financial_platform,company_profile,human review before any YAML change,yes,Core ops are 担保/典当/融资租赁; also has trade segment
000002,万科A,szse_main,false,industrial,real_estate_finance_mention,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Real estate developer; 多元金融 is subsidiary/investment context not core identity
000416,*ST民控,szse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
000545,金浦钛业,szse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
000828,东莞控股,szse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
000906,浙商中拓,szse_main,false,industrial,financial_holding,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Auto disclosure match: diversified_financial_platform
000996,中期退,szse_main,false,industrial,delisted_special_case,low,manual_review,company_profile,document only; likely false positive,yes,Delisted/special situation; defer
002451,摩恩电气,szse_main,false,industrial,financial_holding,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Auto disclosure match: diversified_financial_platform
002657,中科金财,szse_main,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Fintech/data-center/AI services vendor for banks; not a bank
002808,恒久退,szse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
300170,汉得信息,chinext,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
300380,安硕信息,chinext,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Financial IT/software vendor
300454,深信服,chinext,false,industrial,fintech_vendor,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Cybersecurity vendor; finance keyword in customer vertical only
300468,四方精创,chinext,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Financial IT/software vendor
300541,先进数通,chinext,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Financial IT/software vendor
300561,汇金科技,chinext,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Financial IT/software vendor
301246,宏源药业,chinext,false,industrial,name_collision,low,manual_review,company_profile,document only; likely false positive,yes,宏源药业 is pharma; name collision with 宏源 not securities
600166,福田汽车,sse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
600548,深高速,sse_main,false,industrial,infrastructure_finance_mention,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Toll-road operator with finance mentions
600570,恒生电子,sse_main,false,industrial,fintech_vendor,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Financial software vendor serving banks/brokers; not a financial institution
600599,退市熊猫,sse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
600611,大众交通,sse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
600704,物产中大,sse_main,false,industrial,industrial_finance_mention,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Supply-chain/trade industrial; finance is auxiliary
600739,辽宁成大,sse_main,false,industrial,industrial_with_finance_exposure,low,dominant_insurance_business,company_profile,document only; likely false positive,yes,Biopharma/trade dominant; insurance mentions are industry context/investment
600820,隧道股份,sse_main,false,industrial,infrastructure_finance_mention,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Construction/infrastructure with finance mentions
600834,申通地铁,sse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
600864,哈投股份,sse_main,false,industrial,utility_not_financial,low,dominant_futures_business,company_profile,document only; likely false positive,yes,Power/heat utility dominant; not a financial institution
600868,梅雁吉祥,sse_main,false,industrial,industrial_finance_mention,low,dominant_bank_business,company_profile,document only; likely false positive,yes,Industrial company with finance-related disclosure mentions only
600997,开滦股份,sse_main,false,industrial,specialty_finance,low,specialty_finance_dominant,company_profile,document only; likely false positive,yes,Auto disclosure match: specialty_finance_dominant
601186,中国铁建,sse_main,false,industrial,industrial_finance_mention,low,diversified_financial_platform,company_profile,document only; likely false positive,yes,Construction/industrial conglomerate with finance subsidiary mentions
601866,中远海发,sse_main,false,industrial,shipping_leasing_industrial,low,dominant_leasing_business,company_profile,document only; likely false positive,yes,Shipping/container business with leasing assets; not financial-institution schema
603927,中科软,sse_main,false,industrial,fintech_vendor,low,dominant_insurance_business,company_profile,document only; likely false positive,yes,Insurance-industry software vendor
688590,新致软件,star,false,industrial,fintech_vendor,low,dominant_insurance_business,company_profile,document only; likely false positive,yes,Insurance IT vendor; no stored profile; insurer keyword is client-industry context
